StationNumber,Lat,Lon,Address,State,City,County,Zip
999999,27.683,-97.283,"209 Military Dr, Corpus Christi, TX 78418, USA",TX,Corpus Christi,Nueces County,78418
999999,29.98,-95.36,"21843 Burnaby Trail Ct, Houston, TX 77073, USA",TX,Houston,Harris County,77073
999999,27.5,-97.817,"3731 Fitch St, Kingsville, TX 78363, USA",TX,Kingsville,Kleberg County,78363
999999,30.321,-97.76,"Maintenance Dr, Austin, TX 78703, USA",TX,Austin,Travis County,78703
999999,31.619,-97.228,"Unnamed Road, Waco, TX 76708, USA",TX,Waco,McLennan County,76708
999999,33.979,-98.493,"Missile Rd, Sheppard AFB, TX 76311, USA",TX,Sheppard Air Force Base,Wichita County,76311
999999,33.666,-101.823,"7001 N Martin L King Blvd, Lubbock, TX 79403, USA",TX,Lubbock,Lubbock County,79403
999999,31.236,-94.754,"445 FM2108, Burke, TX 75941, USA",TX,Burke,Angelina County,75941
722420,29.3,-94.8,"2910 Ball St, Galveston, TX 77550, USA",TX,Galveston,Galveston County,77550
722517,27.733,-98.017,"Co Rd 344, Alice, TX 78332, USA",TX,Alice,Jim Wells County,78332
722600,32.217,-98.183,"1100 Airport Rd, Stephenville, TX 76401, USA",TX,Stephenville,Erath County,76401
722640,30.367,-104.017,"TX-17, Marfa, TX 79843, USA",TX,Marfa,Presidio County,79843
999999,29.767,-95.367,"Houston, TX, 902 Washington Ave, Houston, TX 77002, USA",TX,Houston,Harris County,77002
722505,26.217,-97.65,"Academy Dr, Harlingen, TX 78550, USA",TX,Harlingen,Cameron County,78550
720110,30.784,-98.662,"Llano Municipal Airport, 3010 TX-16, Llano, TX 78643, USA",TX,Llano,Llano County,78643
722113,30.167,-96.983,"1234 Co Rd 206, Giddings, TX 78942, USA",TX,Giddings,Lee County,78942
722535,29.383,-98.583,"San Antonio, TX 78243, USA",TX,San Antonio,Bexar County,78243
722570,31.1,-97.717,"2315 John Rd, Killeen, TX 76543, USA",TX,Killeen,Bell County,76543
722576,31.067,-97.833,"Clarke Rd, Killeen, TX 76549, USA",TX,Killeen,Bell County,76549
999999,28.367,-97.667,"955 Independence St, Beeville, TX 78102, USA",TX,Beeville,Bee County,78102
999999,26.166,-97.346,"Los Fresnos, TX 78566, USA",TX,Los Fresnos,Cameron County,78566
999999,27.633,-97.317,"3631 Flour Bluff Dr, Corpus Christi, TX 78418, USA",TX,Corpus Christi,Nueces County,78418
999999,32.733,-96.967,"Perimeter, Grand Prairie, TX 75051, USA",TX,Grand Prairie,Dallas County,75051
722508,26.167,-97.35,"Veterans Airport Dr, Los Fresnos, TX 78566, USA",TX,Los Fresnos,Cameron County,78566
722436,29.6,-95.167,"380 Brantly Ave, Houston, TX 77034, USA",TX,Houston,Harris County,77034
720151,30.384,-103.684,"Alpine-Casparis Municipal Airport, 3401 TX-118, Alpine, TX 79830, USA",TX,Alpine,Brewster County,79830
